recording,subject,trial,timestamp,true_target,pred_ridge,pred_random_forest,pred_xgboost,pred_baseline_global_mean,pred_baseline_subject_mean,pred_baseline_ceiling,moving_avg,slope_short,slope_medium,decline_persistence
08M_1,8,1,6772.0,99.92778901857469,81.68297445719797,73.95000705355388,70.45344543457031,68.1300448600817,68.15116839562234,100.0,76.35057258605957,-7.317214965819519,-0.12135260445735306,0
08M_1,8,1,6780.0,99.92898256111576,78.14776006968175,88.73327838198107,86.26567840576172,68.1300448600817,68.15116839562234,100.0,76.67051219940186,-1.2294921875002178,1.4930050259546228,0
08M_1,8,1,6788.0,99.91885328615602,55.8647403447116,60.26950301681797,52.79503631591797,68.1300448600817,68.15116839562234,100.0,71.99489116668701,-3.7072448730461147,0.9529705047608756,1
08M_1,8,1,6796.0,99.90727926448592,64.99779207603513,71.43269745792544,65.2945327758789,68.1300448600817,68.15116839562234,100.0,76.38150882720947,-4.894738006593531,-4.083246231078987,0
08M_1,8,1,6804.0,99.89405443070925,73.66668931769614,57.60001396750239,66.53446960449219,68.1300448600817,68.15116839562234,100.0,73.79179668426514,-4.6694129943848655,-3.7391194843112348,0
08M_1,8,1,6812.0,99.87894332815512,89.70082673850497,83.35715656370122,84.30900573730469,68.1300448600817,68.15116839562234,100.0,73.30618476867676,9.578184509279081,-1.3196027846564145,0
08M_1,8,1,6820.0,99.86167691677662,74.92311291331777,83.20289143768017,75.5976791381836,68.1300448600817,68.15116839562234,100.0,71.45913887023926,4.868397521973718,0.7000545320056379,1
08M_1,8,1,6828.0,99.8419477831264,90.42692429642808,78.62589316751202,79.18663024902344,68.1300448600817,68.15116839562234,100.0,72.5545597076416,2.9245155334472224,1.2330255054291845,0
08M_1,8,1,6836.0,99.81940466712756,80.25292385057654,82.46324446676255,82.9084243774414,68.1300448600817,68.15116839562234,100.0,74.11143207550049,-0.061279296875010145,1.8707281748456772,0
08M_1,8,1,6844.0,99.79364620819346,63.64235323510468,90.02348723234088,89.96424865722656,68.1300448600817,68.15116839562234,100.0,74.5737533569336,4.682150268553325,4.4940369015648685,0
08M_1,8,1,6852.0,99.76421379935096,54.277735634450536,53.91818445695377,46.67766571044922,68.1300448600817,68.15116839562234,100.0,73.80908203125,-9.047106933594728,-0.16407103765577796,1
08M_1,8,1,6860.0,99.7305834221422,64.09103253427206,59.42987918398354,48.53886032104492,68.1300448600817,68.15116839562234,100.0,71.71462297439575,-14.639527511597304,-3.182195981343564,0
08M_1,8,1,6868.0,99.69215631693108,70.19744068775842,77.5494740601673,72.78543090820312,68.1300448600817,68.15116839562234,100.0,72.49599313735962,-4.967525863648177,-3.6479784193492573,0
08M_1,8,1,6876.0,99.6482483225088,76.58934869231081,88.13862389832208,89.5145034790039,68.1300448600817,68.15116839562234,100.0,73.14668035507202,15.275708389283384,-0.9640893027896313,0
08M_1,8,1,6884.0,99.5980776951977,74.50045247627462,91.03913541864372,83.71276092529297,68.1300448600817,68.15116839562234,100.0,74.1610655784607,12.225077438354612,0.17902442387141457,1
08M_1,8,1,6892.0,99.54075119058496,84.43864663633158,82.61257822109869,88.87893676757812,68.1300448600817,68.15116839562234,100.0,75.37260389328003,4.247877502441153,1.9439670471920558,0
08M_1,8,1,6900.0,99.47524816008186,78.28993162841229,73.22533474266372,68.82023620605469,68.1300448600817,68.15116839562234,100.0,73.61158037185669,-5.691662597656608,2.205345744178993,1
08M_1,8,1,6908.0,99.40040237916304,88.82798994891988,93.06155915167136,92.89860534667967,68.1300448600817,68.15116839562234,100.0,73.97837495803833,0.7498832702640238,5.564669427417645,0
08M_1,8,1,6916.0,99.31488128375229,79.2207116664413,86.95595385028308,84.49673461914062,68.1300448600817,68.15116839562234,100.0,78.70575857162476,1.0931762695307976,3.516123408362924,1
08M_1,8,1,6924.0,99.21716224507742,75.62675576316015,77.82339130080817,74.43651580810547,68.1300448600817,68.15116839562234,100.0,81.94296550750732,0.844696807861977,-0.07181449163539327,2
08M_1,8,1,6932.0,99.10550546058847,82.5384780472759,87.3973254362153,83.61279296875,68.1300448600817,68.15116839562234,100.0,83.29638576507568,-3.7917655944824813,-0.9138266245523422,0
08M_1,8,1,6940.0,98.97792297828538,84.80860572597854,88.53392324686912,84.04541015625,68.1300448600817,68.15116839562234,100.0,82.61274909973145,0.7822303771969156,-0.18518102736696304,0
08M_1,8,1,6948.0,98.83214330296045,73.13959885572682,85.50504761517281,84.5541763305664,68.1300448600817,68.15116839562234,100.0,82.71792602539062,3.0785598754881516,0.09446298508409912,0
08M_1,8,1,6956.0,98.66557095420065,87.74246344964064,86.05584271214315,86.16715240478516,68.1300448600817,68.15116839562234,100.0,82.3789529800415,0.8171844482422884,1.0420068105060798,0
08M_1,8,1,6964.0,98.47524025611447,75.48709393730732,83.32236327336292,81.33094787597656,68.1300448600817,68.15116839562234,100.0,83.94279193878174,-0.6530410766602753,-0.49804660252162264,1
08M_1,8,1,6972.0,98.25776253605063,85.96631541240288,87.57770137131321,93.2379913330078,68.1300448600817,68.15116839562234,100.0,83.98521518707275,2.1215240478522386,1.2361047835576096,0
08M_1,8,1,6980.0,98.00926579222664,78.27080671804715,87.38848622564657,80.7417221069336,68.1300448600817,68.15116839562234,100.0,83.51583862304688,-0.43692474365228623,1.020619346981929,1
